0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
99999865,99999400,99999475,99999730,99999535,100000318.91895479,100000599.63083689,100000372.49386953,100000400.24766564,100000368.96482265,99999982.0,99999982.0,99999979.5,99999982.0,99999982.0,99999777.75652917,99999762.25652917,99999796.75652917,99999775.20188347,99999793.75652917,100000016.5,100000015,100000015,100000015,100000015,99998776.74814066,100000001.0,99999879.0,99999889.5,99999833.5,100000730.0875474,100000751.98581992,100000292.8731666,100000323.69478495,100000566.62639081
99999625,99999550,99999700,99999944.04057138,99999880,100000202.5,100000196.5,100000186.0,100000193.62126094,100000160.5,99999964.0,99999983.5,99999977.5,99999977.5,99999983.5,99999850.0,99999865.0,99999880.0,99999865.0,99999850.0,100000019.5,100000019.5,100000016.5,100000034.5,100000018.0,99995507.5,99999996.75745057,100003253.45291877,99999171.84454575,100000761.2832526,100000283.5,100000369.0,100000745.5,100000532.5,100000436.5
99999805,100000075,99999692.40425134,99999445,99999505,100000125.44652611,100000190.26328522,100000209.1739757,100000132.64450324,100000091.55057186,100000000,100000000,100000000,100000000,100000000,99999917.80202287,99999902.80202287,99999939.11878198,99999919.30202287,99999943.61878198,100000000,100000001.80202287,100000016.80202287,100000000,100000000,99999589.23170666,100000040.5,99999893.5,99999863.0,99999924.82449807,100000516.60779697,100000578.40981984,100000340.77630162,100000167.06358826,100000173.35549676
99999505,99999865,99999700,99999144.6989403,99999415,100000586.02515857,100001274.73887107,100001486.13186821,100000291.25714368,100001396.81447402,99999954.2123983,99999936.1823126,99999954.2123983,99999984.21411206,99999956.49828625,99999984.3176874,100000039.13537481,100000024.13537481,99999984.3176874,100000030.13537481,100000015,100000098.97304858,100000098.97304858,100000015,100000098.97304858,99999880,100000166.91156296,100000428.2876017,100000382.97317755,100000315,99999199.25689861,99999044.64847521,99999255.57172231,99999358.49785574,99999129.90609755
99999715,99999685,99999376.27716647,100000090,99999445,99999654.1534435,100000001.5,99999595.6534435,99999985.0,99999977.5,99999967.93853442,99999949.0,99999957.8423196,99999959.46287827,99999965.5,99999941.5,99999956.5,99999925.0,99999926.5,99999980.70968325,100000016.5,100000015.0,99999985,100000001.5,100000001.5,100000937.88059333,99999795.62978235,99999982.0,99999906.00372809,100000151.13043927,100000341.32127273,100000559.91063637,100000414.27187113,100000382.02222584,100000455.29198188
99999625,100000427.40827505,99999610,99999985.59215204,99999970,100000527.44102716,100000181.36025679,100000459.2455632,100000550.25439264,100000482.44102716,100000142.0691298,100000012.0,100000010.5,100000010.5,100000071.66866773,100000217.22051358,100000244.22051358,100000266.11517459,100000131.86025679,100000353.58077037,100000116.86025679,100000016.5,100000016.5,100000016.5,100000016.5,100000818.9904002,99999923.5,99999969.25,99999984.25,99999985,99999335.11794567,99999158.11794567,99999139.2806102,99999026.5371753,99999198.61794567
99999700,100000020.25702932,99999625,99999940,99999700,100000051.26995164,100000088.98794842,100000014.83395809,100000049.55195487,100000047.83395809,99999942.4069685,99999984.78200322,100000003.0,99999983.28200322,99999984.78200322,99999991.21799678,100000010.71799678,99999976.21799678,99999982.21799678,99999995.71799678,100000016.5,100000016.5,100000000,100000016.5,100000001.5,99999388.0,99999512.93803763,100000013.5,99999880,100000180,100000368.10203546,100000483.60203546,100000451.23004836,100000417.38403869,100000162.16604191
100000600,100000600,100000284.5,99999505,100000177.4247801,99999103.0,99998872.0,99999545.5,99999241.0,99999551.5,100000000,99999979.0,99999964.0,99999979.0,99999979.0,99999867.5,99999840.5,99999852.5,99999852.5,99999867.5,99999985,99999985,100000000,99999985,99999985,99999206.0752199,100000853.5,100000013.5,100000028.5,99999968.5,100000570.0,100000567.0,100001102.5,100000531.0,100000558.0
100000120,99999880,99999970,99999760,99999640,100000235.83548716,100000016.82343687,100000189.99955812,99999788.12232651,100000263.8782104,99999994.0,99999995.5,99999995.5,99999995.5,99999995.5,99999956.50213489,99999947.50320233,99999947.50320233,99999947.50320233,99999947.50320233,100000007.50106744,100000007.50106744,100000009.00106744,100000007.50106744,100000007.50106744,99999408.18038137,99999793.0,99999897.25,99999621.96731012,99999996.75705597,100000498.86184065,100000056.36184065,100000257.9594371,100000377.11695054,100000466.3658831
99999550,99999715,100000060,99999639.4771203,99999640,99999347.84834392,99999797.40332966,99999786.36811751,99999803.7192709,99999796.2192709,99999999.43641135,99999997.93641135,99999999.43641135,99999994.93641135,99999997.93641135,99999898.96881403,99999958.60753216,99999934.04394351,99999903.75637877,99999949.94043753,100000000,100000015,100000000,100000015,100000000,100000016.72403026,100000215.00957878,99999999.68194397,99999954.99363707,99999589.1314757,100000886.82710178,100000851.72578447,100000567.73066762,100000551.54449408,100000565.59667034
