0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
99999745,99999880,100000255,100000330,99999895,99999719.4952051,99999685,99999580,99999985,99999745,100000088.80604544,100000063.0,100000061.5,100000072.0,100000139.80604544,100000099.0,100000057.0,100000061.5,100000135.5047949,100000067.5,100000000,99999963.69395456,99999955.0,99999983.5,99999956.5,100000000,100000000,100000000,99999983.5,100000000,99999920.5,99999925.0,99999935.5,99999922.0,99999935.5,99999920.5,99999922.0,99999937.0,99999935.5,99999922.0,100000016.5,100000016.5,100000001.5,100000016.5,100000016.5,100000016.5,100000000,100000016.5,100000001.5,100000001.5,99999700,99999940,99999424.69395456,99999962.5,99999616.0,100000544.5,100000441.0,100000324.0,100000715.5,100000445.5
99999940,99999955,100000345,100000105,99999700,100006187.66455916,100000300,99999850,100008519.5978835,99999835,99999355,99999325,99999370,99999340,99999250,99998590,99999370,99999325,99999250,99998680,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,99999895,99999910,99999895,99999895,99999895,99999910,99999880,99999895,99999895,99999880,100000161.02708277,100000159.52708277,100000158.02708277,100000159.52708277,100000162.52708277,100000143.02708277,100000158.02708277,100000162.52708277,100000158.02708277,100000161.02708277,100000555,99999925,99999955,100001065,99999856.52708277,99998565.43126181,99998388.3500135,99998178.87709627,99998396.01251012,99997989.26876518
99999925,99999418.20496246,100000090,99999655,99999491.80720948,100000120,99999157.7885106,99999955,100000015,99999720.04508221,100000508.6639834,100000244.6406576,100000562.6406576,100000578.9049513,100000608.0887444,99999232.3530381,99999163.0082438,99999194.5082438,100000490.0834828,100000507.3996897,100000008.3162069,99999996.77666073,100000035.49637128,100000009.08547093,100000009.3028026,99999969.5519132,99999984.5519132,100000007.94635533,100000007.94635533,100000008.3162069,99999948.68129104,99999943.40847038,99999922.8273141,99999907.47713122,99999949.66759795,99999925.82944383,99999934.66759795,99999887.67127407,99999937.313621,99999953.27401069,100000032.7642937,100000015,100000031.2642937,100000031.2642937,100000031.2642937,100000031.2642937,100000032.7642937,100000032.7642937,100000030.4480868,100000032.7642937,100000032.94445808,99999400.27709608,99999982.70810305,100001810.12201817,100000826.5,99999907.47317691,99999562.95184048,100000073.61632282,100000041.11851609,100000074.48056602
99999910,99999593.53607118,100000480,99999865,100000495,99999730,99999985,99999745,100000525,99999880,100000368.6253425,100000371.95005766,100000354.2494304,100000372.86918244,100000434.47984996,100000360.2494304,100000374.58918755,100000510.73387824,100000354.29871693,100000357.2494304,100000000,99999982.0,100000000,100000000,100000000,100000000,99999960.45186363,99999946.60595933,100000000,100000000,99999681.99934418,99999658.29871693,99999629.7494304,99999676.2494304,99999676.2494304,99999629.7494304,99999681.95005766,99999715.69554052,99999661.29871693,99999673.2494304,100000016.5,100000016.5,100000000,100000016.5,100000031.5,100000016.5,100000016.5,100000016.5,100000016.5,100000001.5,99999340.0,100000719.99157819,99999101.8273736,99996993.68341936,99999295.72592428,100000918.63523279,100000660.30213451,100000943.20299134,100000568.20299134,100000668.55042572
100000000,99999685,99999760,99999820,99999835,99999610,100000030,99999835,99999448.8774696,99999940,100000116.19905931,100000268.42280005,99999687.86762577,99999909.98039424,100000187.1820658,100000146.69067703,99999687.70621072,99999702.86762577,100000184.88940543,100000221.19905931,99999979.17694874,99999962.67694874,99999980.67694874,99999964.17694874,99999962.67694874,99999980.67694874,99999980.67694874,99999964.17694874,99999964.17694874,99999980.67694874,99999853.16946141,99999865.2769959,99999894.11052117,99999827.19595519,99999823.16946141,99999811.16946141,99999831.55842857,99999837.31570983,99999850.73696935,99999824.66946141,100000030.64296764,100000034.32305126,100000030.8043827,100000015.8043827,100000033.66856647,100000035.40068948,100000034.32305126,100000030.8043827,100000020.38896716,100000034.32305126,100000190.00909276,99999907.0,100000235.3314959,100001828.5,100000487.5,100000322.03535125,99999879.7898855,99999902.87792276,100000507.44000871,100000224.0084444
99999820,99999096.19135123,99999367.60042612,99999595,99999805,99999940,99999760,99999835,99999790,99999670,100000376.76766904,100000422.14676668,100000307.71237876,100000390.55008933,100000264.82341786,100000239.1043323,100000233.1043323,100000359.75415218,100000312.32645789,100000291.65207182,99999971.77787441,99999956.77787441,99999941.77787441,99999956.77787441,99999956.77787441,99999956.77787441,99999941.77787441,99999971.77787441,99999971.77787441,99999956.77787441,99999910.77991576,99999925.01846611,99999905.79634053,99999923.73429605,99999860.79634053,99999904.29634053,99999874.29634053,99999907.29634053,99999872.79634053,99999910.29634053,99999985,99999985,100000000,100000000,100000016.5,100000016.5,100000000,100000001.5,100000000,100000015,100000152.38428546,99999614.5,99999843.87589373,100000124.40781093,99999560.22212559,100000241.47146712,100000622.66724646,100000363.44512087,100000378.44512087,100000624.46167776
99999746.21222727,99999940,100000153.73344347,99999565,99999910,99999700,99999850,100000258.09903501,99999850,99999805,99998935,99998455,99998770,99998965,99998920,99998650,99998950,99998860,99998935,99998920,100000000,100000000,100000015,100000000,100000000,100000000,100000030,100000030,100000015,100000000,100000020.1550631,99999950.10553887,99999835.0,99999940.5489355,99999898.25513111,99999922.14232033,99999964.77638379,99999886.66618107,99999961.02069697,99999931.00180274,99999985,100000000,100000000,99999985,100000000,99999985,99999985,99999985,99999985,99999985,100000101.33381893,100002327.91126008,100003676.97154963,100000646.59899782,100001107.81433724,100000867.04239765,100001344.29240558,100001466.281526,100000951.53113268,100001077.50581516
100000000,100000000,100000165,100000195,100000075,100000150,99999985,100000165,100000045,100000180,99999460.58701773,100000040.8285847,99999819.1571694,99999913.91580738,100000166.46654133,99999901.3285847,100000090.3285847,100000025.8285847,100000147.3285847,99999819.1571694,99999995.1714153,99999962.1714153,99999996.6714153,99999997.0,99999962.1714153,99999962.1714153,99999962.1714153,99999997.0,99999997.0,99999997.0,99999431.5,99999476.5,99999416.5,99999491.5,99999461.5,99999431.5,99999431.5,99999431.5,99999461.5,99999446.5,100000037.8285847,100000036.0,100000036.0,100000036.0,100000000,100000036.0,100000036.0,100000000,100000000,100000036.0,99999417.74136202,100000808.5,100000108.69062807,100000970.24156697,100000042.0,100000272.6714153,100000587.3428306,100000945.8428306,100000770.3428306,100001169.3428306
99999604.01319228,99999640,99999835,99999880,99999623.24107376,99999805,99999715,99999745,99999775,100000015,100000117.18582845,100000134.20131415,100000020.71679986,100000103.17034274,100000093.09291422,100000129.18582845,100000151.73228556,100000118.68582845,100000113.67034274,100000166.21679986,100000036.25011386,99999981.4845143,99999982.0,99999982.0,100000024.25011386,99999981.4845143,99999982.0,100000037.75011386,99999981.4845143,99999985.3700858,99999972.33914034,99999960.33914034,99999960.95356883,99999973.83914034,99999943.83914034,99999970.83914034,99999942.33914034,99999957.33914034,99999985.83914034,99999972.33914034,100000016.5,100000016.5,100000031.5,100000016.5,100000016.5,100000016.5,100000016.5,100000015,100000016.5,100000016.5,100000038.2772713,99999460.78675331,99999081.5854581,99999845.5,99999506.5,100000877.77494851,100000752.672987,100000626.72125733,100000580.26771444,100000652.22125733
99999940,99999415,99999970,100001365,100000045,99999865,100001725,100000150,99999582.54436556,100001425,99998941.0,99998786.5,99999028.0,99998960.5,99998711.5,99998372.5,99998716.0,99998836.0,99999001.0,99998906.5,99999980.5,99999980.5,99999995.5,99999980.5,99999980.5,99999980.5,99999980.5,99999980.5,99999980.5,99999980.5,99999702.935239,99999657.935239,99999724.57794464,99999677.06463198,99999665.48993886,99999628.63264449,99999680.48993886,99999690.935239,99999687.935239,99999686.435239,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,99999985,100000000,100000200.29275776,100000527.01833518,100000408.8166771,100001558.35462654,100000413.20703328,100001533.28634079,100001447.92479235,100001564.29377827,100002096.13614108,100001901.19385828
